concept,concept_type,map_file,map_object,map_type,name
name,string,,,,Name
middle_income,measure,,,,Middle income
median_income,measure,,,,Median income
year,time,,,,Year
municipality,entity_domain,shapes_municipalities.json,municipalities,topojson,Municipality
county,entity_domain,,,,County
map_id,string,,,,Map ID
map_type,string,,,,Map format
map_file,string,,,,Path to map file
map_object,string,,,,Name of JSON object with geo shapes (map_type specific)
life_expectancy,measure,,,,Life expectancy
population,measure,,,,Population
