municipality,name,year,life_expectancy
0114,Upplands Väsby,2000,79.885
0114,Upplands Väsby,2001,80.08
0114,Upplands Väsby,2002,80.515
0114,Upplands Väsby,2003,80.8
0114,Upplands Väsby,2004,80.69
0114,Upplands Väsby,2005,80.62
0114,Upplands Väsby,2006,80.67
0114,Upplands Väsby,2007,81.325
0114,Upplands Väsby,2008,81.325
0114,Upplands Väsby,2009,81.515
0114,Upplands Väsby,2010,81.98
0114,Upplands Väsby,2011,82.42
0114,Upplands Väsby,2012,81.94
0114,Upplands Väsby,2013,82.095
0115,Vallentuna,2000,80.915
0115,Vallentuna,2001,80.9
0115,Vallentuna,2002,80.945
0115,Vallentuna,2003,80.92
0115,Vallentuna,2004,81.255
0115,Vallentuna,2005,81.35
0115,Vallentuna,2006,81.5
0115,Vallentuna,2007,81.885
0115,Vallentuna,2008,81.87
0115,Vallentuna,2009,82.02
0115,Vallentuna,2010,82.325
0115,Vallentuna,2011,82.57
0115,Vallentuna,2012,82.71
0115,Vallentuna,2013,83.235
0117,Österåker,2000,80.93
0117,Österåker,2001,81.605
0117,Österåker,2002,81.83
0117,Österåker,2003,81.675
0117,Österåker,2004,81.775
0117,Österåker,2005,82.36
0117,Österåker,2006,82.265
0117,Österåker,2007,82.27
0117,Österåker,2008,82.4
0117,Österåker,2009,82.395
0117,Österåker,2010,82.23
0117,Österåker,2011,82.41
0117,Österåker,2012,82.545
0117,Österåker,2013,82.745
0120,Värmdö,2000,80.33
0120,Värmdö,2001,80.385
0120,Värmdö,2002,80.16
0120,Värmdö,2003,80.625
0120,Värmdö,2004,80.855
0120,Värmdö,2005,81.025
0120,Värmdö,2006,81.225
0120,Värmdö,2007,81.515
0120,Värmdö,2008,81.395
0120,Värmdö,2009,81.555
0120,Värmdö,2010,81.745
0120,Värmdö,2011,81.965
0120,Värmdö,2012,82.205
0120,Värmdö,2013,82.255
0123,Järfälla,2000,80.255
0123,Järfälla,2001,80.475
0123,Järfälla,2002,80.695
0123,Järfälla,2003,80.94
0123,Järfälla,2004,81.085
0123,Järfälla,2005,81.485
0123,Järfälla,2006,81.635
0123,Järfälla,2007,82.06
0123,Järfälla,2008,82.215
0123,Järfälla,2009,82.35
0123,Järfälla,2010,82.615
0123,Järfälla,2011,82.845
0123,Järfälla,2012,82.845
0123,Järfälla,2013,83.105
0125,Ekerö,2000,80.925
0125,Ekerö,2001,81.695
0125,Ekerö,2002,81.98
0125,Ekerö,2003,82.44
0125,Ekerö,2004,82.915
0125,Ekerö,2005,82.87
0125,Ekerö,2006,82.9
0125,Ekerö,2007,83.59
0125,Ekerö,2008,83.18
0125,Ekerö,2009,82.95
0125,Ekerö,2010,83.205
0125,Ekerö,2011,83.52
0125,Ekerö,2012,83.405
0125,Ekerö,2013,83.75
0126,Huddinge,2000,79.97
0126,Huddinge,2001,80.145
0126,Huddinge,2002,80.21
0126,Huddinge,2003,80.43
0126,Huddinge,2004,80.54
0126,Huddinge,2005,80.71
0126,Huddinge,2006,80.845
0126,Huddinge,2007,81.105
0126,Huddinge,2008,80.995
0126,Huddinge,2009,81.165
0126,Huddinge,2010,81.45
0126,Huddinge,2011,81.695
0126,Huddinge,2012,81.92
0126,Huddinge,2013,82.26
0127,Botkyrka,2000,79.38
0127,Botkyrka,2001,79.15
0127,Botkyrka,2002,79.51
0127,Botkyrka,2003,79.785
0127,Botkyrka,2004,79.725
0127,Botkyrka,2005,80.025
0127,Botkyrka,2006,80.51
0127,Botkyrka,2007,80.525
0127,Botkyrka,2008,80.705
0127,Botkyrka,2009,81.245
0127,Botkyrka,2010,81.225
0127,Botkyrka,2011,81.21
0127,Botkyrka,2012,81.405
0127,Botkyrka,2013,81.435
0128,Salem,2000,80.735
0128,Salem,2001,81.19
0128,Salem,2002,81.765
0128,Salem,2003,82.13
0128,Salem,2004,82.52
0128,Salem,2005,82.23
0128,Salem,2006,82.49
0128,Salem,2007,82.795
0128,Salem,2008,82.285
0128,Salem,2009,82.365
0128,Salem,2010,82.37
0128,Salem,2011,82.53
0128,Salem,2012,82.635
0128,Salem,2013,82.81
0136,Haninge,2000,79.075
0136,Haninge,2001,79.24
0136,Haninge,2002,79.575
0136,Haninge,2003,79.61
0136,Haninge,2004,79.985
0136,Haninge,2005,80.195
0136,Haninge,2006,80.37
0136,Haninge,2007,80.48
0136,Haninge,2008,80.705
0136,Haninge,2009,80.715
0136,Haninge,2010,80.955
0136,Haninge,2011,81.195
0136,Haninge,2012,81.38
0136,Haninge,2013,81.4
0138,Tyresö,2000,80.445
0138,Tyresö,2001,80.87
0138,Tyresö,2002,81.14
0138,Tyresö,2003,81.09
0138,Tyresö,2004,81.13
0138,Tyresö,2005,81.29
0138,Tyresö,2006,81.23
0138,Tyresö,2007,81.6
0138,Tyresö,2008,81.8
0138,Tyresö,2009,82.18
0138,Tyresö,2010,82.44
0138,Tyresö,2011,82.95
0138,Tyresö,2012,82.86
0138,Tyresö,2013,82.83
0139,Upplands-Bro,2000,79.32
0139,Upplands-Bro,2001,79.63
0139,Upplands-Bro,2002,79.43
0139,Upplands-Bro,2003,79.78
0139,Upplands-Bro,2004,80.345
0139,Upplands-Bro,2005,80.425
0139,Upplands-Bro,2006,80.79
0139,Upplands-Bro,2007,81.37
0139,Upplands-Bro,2008,81.755
0139,Upplands-Bro,2009,81.715
0139,Upplands-Bro,2010,82.025
0139,Upplands-Bro,2011,82.35
0139,Upplands-Bro,2012,82.15
0139,Upplands-Bro,2013,82.2
0140,Nykvarn,2000,79.245
0140,Nykvarn,2001,79.61
0140,Nykvarn,2002,80.35
0140,Nykvarn,2003,81.225
0140,Nykvarn,2004,81.655
0140,Nykvarn,2005,81.905
0140,Nykvarn,2006,81.66
0140,Nykvarn,2007,81.69
0140,Nykvarn,2008,81.205
0140,Nykvarn,2009,81.0
0140,Nykvarn,2010,81.19
0140,Nykvarn,2011,81.42
0140,Nykvarn,2012,81.225
0140,Nykvarn,2013,81.53
0160,Täby,2000,81.595
0160,Täby,2001,81.75
0160,Täby,2002,81.89
0160,Täby,2003,82.11
0160,Täby,2004,82.36
0160,Täby,2005,82.655
0160,Täby,2006,82.795
0160,Täby,2007,82.875
0160,Täby,2008,83.025
0160,Täby,2009,83.215
0160,Täby,2010,83.505
0160,Täby,2011,83.885
0160,Täby,2012,84.105
0160,Täby,2013,84.265
0162,Danderyd,2000,82.525
0162,Danderyd,2001,82.705
0162,Danderyd,2002,82.92
0162,Danderyd,2003,83.28
0162,Danderyd,2004,83.775
0162,Danderyd,2005,83.76
0162,Danderyd,2006,84.11
0162,Danderyd,2007,84.12
0162,Danderyd,2008,84.365
0162,Danderyd,2009,84.375
0162,Danderyd,2010,84.615
0162,Danderyd,2011,84.66
0162,Danderyd,2012,84.935
0162,Danderyd,2013,84.745
0163,Sollentuna,2000,81.565
0163,Sollentuna,2001,81.695
0163,Sollentuna,2002,81.835
0163,Sollentuna,2003,81.76
0163,Sollentuna,2004,82.145
0163,Sollentuna,2005,82.215
0163,Sollentuna,2006,82.22
0163,Sollentuna,2007,82.5
0163,Sollentuna,2008,82.66
0163,Sollentuna,2009,83.035
0163,Sollentuna,2010,82.96
0163,Sollentuna,2011,83.185
0163,Sollentuna,2012,83.335
0163,Sollentuna,2013,83.495
0180,Stockholm,2000,79.18
0180,Stockholm,2001,79.395
0180,Stockholm,2002,79.695
0180,Stockholm,2003,79.935
0180,Stockholm,2004,80.205
0180,Stockholm,2005,80.415
0180,Stockholm,2006,80.73
0180,Stockholm,2007,80.925
0180,Stockholm,2008,81.145
0180,Stockholm,2009,81.385
0180,Stockholm,2010,81.58
0180,Stockholm,2011,81.825
0180,Stockholm,2012,82.035
0180,Stockholm,2013,82.205
0181,Södertälje,2000,78.31
0181,Södertälje,2001,78.59
0181,Södertälje,2002,78.715
0181,Södertälje,2003,78.965
0181,Södertälje,2004,79.345
0181,Södertälje,2005,79.46
0181,Södertälje,2006,79.515
0181,Södertälje,2007,79.79
0181,Södertälje,2008,79.845
0181,Södertälje,2009,80.02
0181,Södertälje,2010,80.375
0181,Södertälje,2011,80.715
0181,Södertälje,2012,81.055
0181,Södertälje,2013,81.28
0182,Nacka,2000,80.27
0182,Nacka,2001,80.49
0182,Nacka,2002,80.58
0182,Nacka,2003,80.855
0182,Nacka,2004,81.07
0182,Nacka,2005,81.305
0182,Nacka,2006,81.515
