municipality,name,year,median_income
0114,Upplands Väsby,1999,184600.0
0114,Upplands Väsby,2000,191000.0
0114,Upplands Väsby,2001,199500.0
0114,Upplands Väsby,2002,205500.0
0114,Upplands Väsby,2003,210600.0
0114,Upplands Väsby,2004,212100.0
0114,Upplands Väsby,2005,215700.0
0114,Upplands Väsby,2006,220700.0
0114,Upplands Väsby,2007,228700.0
0114,Upplands Väsby,2008,237600.0
0114,Upplands Väsby,2009,240100.0
0114,Upplands Väsby,2010,240900.0
0114,Upplands Väsby,2011,246900.0
0114,Upplands Väsby,2012,254000.0
0114,Upplands Väsby,2013,258800.0
0114,Upplands Väsby,2014,263900.0
0115,Vallentuna,1999,183000.0
0115,Vallentuna,2000,190800.0
0115,Vallentuna,2001,199900.0
0115,Vallentuna,2002,208500.0
0115,Vallentuna,2003,213000.0
0115,Vallentuna,2004,216100.0
0115,Vallentuna,2005,222300.0
0115,Vallentuna,2006,229300.0
0115,Vallentuna,2007,239500.0
0115,Vallentuna,2008,249800.0
0115,Vallentuna,2009,256000.0
0115,Vallentuna,2010,260000.0
0115,Vallentuna,2011,268700.0
0115,Vallentuna,2012,278100.0
0115,Vallentuna,2013,285800.0
0115,Vallentuna,2014,293700.0
0117,Österåker,1999,184500.0
0117,Österåker,2000,193300.0
0117,Österåker,2001,202700.0
0117,Österåker,2002,209500.0
0117,Österåker,2003,213500.0
0117,Österåker,2004,218100.0
0117,Österåker,2005,223500.0
0117,Österåker,2006,229800.0
0117,Österåker,2007,238700.0
0117,Österåker,2008,248900.0
0117,Österåker,2009,254200.0
0117,Österåker,2010,258300.0
0117,Österåker,2011,263400.0
0117,Österåker,2012,270000.0
0117,Österåker,2013,279300.0
0117,Österåker,2014,285200.0
0120,Värmdö,1999,183700.0
0120,Värmdö,2000,192100.0
0120,Värmdö,2001,201900.0
0120,Värmdö,2002,210300.0
0120,Värmdö,2003,215100.0
0120,Värmdö,2004,220200.0
0120,Värmdö,2005,224400.0
0120,Värmdö,2006,230600.0
0120,Värmdö,2007,239600.0
0120,Värmdö,2008,249700.0
0120,Värmdö,2009,256000.0
0120,Värmdö,2010,259300.0
0120,Värmdö,2011,265900.0
0120,Värmdö,2012,274300.0
0120,Värmdö,2013,281600.0
0120,Värmdö,2014,287600.0
0123,Järfälla,1999,188300.0
0123,Järfälla,2000,195400.0
0123,Järfälla,2001,204000.0
0123,Järfälla,2002,210800.0
0123,Järfälla,2003,215100.0
0123,Järfälla,2004,218700.0
0123,Järfälla,2005,220800.0
0123,Järfälla,2006,226900.0
0123,Järfälla,2007,233400.0
0123,Järfälla,2008,241900.0
0123,Järfälla,2009,245800.0
0123,Järfälla,2010,245900.0
0123,Järfälla,2011,250200.0
0123,Järfälla,2012,257600.0
0123,Järfälla,2013,262500.0
0123,Järfälla,2014,266700.0
0125,Ekerö,1999,193700.0
0125,Ekerö,2000,201700.0
0125,Ekerö,2001,211300.0
0125,Ekerö,2002,217700.0
0125,Ekerö,2003,223700.0
0125,Ekerö,2004,230400.0
0125,Ekerö,2005,234000.0
0125,Ekerö,2006,241000.0
0125,Ekerö,2007,249800.0
0125,Ekerö,2008,260600.0
0125,Ekerö,2009,266700.0
0125,Ekerö,2010,270900.0
0125,Ekerö,2011,279200.0
0125,Ekerö,2012,287000.0
0125,Ekerö,2013,296400.0
0125,Ekerö,2014,301600.0
0126,Huddinge,1999,179200.0
0126,Huddinge,2000,185900.0
0126,Huddinge,2001,194800.0
0126,Huddinge,2002,200500.0
0126,Huddinge,2003,204700.0
0126,Huddinge,2004,208300.0
0126,Huddinge,2005,212000.0
0126,Huddinge,2006,217200.0
0126,Huddinge,2007,224300.0
0126,Huddinge,2008,233000.0
0126,Huddinge,2009,236200.0
0126,Huddinge,2010,238500.0
0126,Huddinge,2011,244400.0
0126,Huddinge,2012,252500.0
0126,Huddinge,2013,259300.0
0126,Huddinge,2014,264000.0
0127,Botkyrka,1999,157900.0
0127,Botkyrka,2000,162800.0
0127,Botkyrka,2001,171800.0
0127,Botkyrka,2002,177300.0
0127,Botkyrka,2003,180800.0
0127,Botkyrka,2004,183600.0
0127,Botkyrka,2005,185500.0
0127,Botkyrka,2006,189900.0
0127,Botkyrka,2007,195900.0
0127,Botkyrka,2008,202700.0
0127,Botkyrka,2009,204500.0
0127,Botkyrka,2010,204600.0
0127,Botkyrka,2011,208300.0
0127,Botkyrka,2012,216000.0
0127,Botkyrka,2013,221600.0
0127,Botkyrka,2014,225500.0
0128,Salem,1999,188400.0
0128,Salem,2000,196800.0
0128,Salem,2001,205700.0
0128,Salem,2002,213500.0
0128,Salem,2003,218700.0
0128,Salem,2004,222400.0
0128,Salem,2005,226600.0
0128,Salem,2006,232700.0
0128,Salem,2007,240900.0
0128,Salem,2008,252300.0
0128,Salem,2009,257700.0
0128,Salem,2010,260300.0
0128,Salem,2011,266800.0
0128,Salem,2012,273000.0
0128,Salem,2013,279300.0
0128,Salem,2014,286400.0
0136,Haninge,1999,175200.0
0136,Haninge,2000,182400.0
0136,Haninge,2001,191100.0
0136,Haninge,2002,197800.0
0136,Haninge,2003,201000.0
0136,Haninge,2004,205000.0
0136,Haninge,2005,207500.0
0136,Haninge,2006,212900.0
0136,Haninge,2007,219800.0
0136,Haninge,2008,228200.0
0136,Haninge,2009,232300.0
0136,Haninge,2010,232900.0
0136,Haninge,2011,237500.0
0136,Haninge,2012,246600.0
0136,Haninge,2013,252700.0
0136,Haninge,2014,257200.0
0138,Tyresö,1999,189000.0
0138,Tyresö,2000,197600.0
0138,Tyresö,2001,206400.0
0138,Tyresö,2002,213600.0
0138,Tyresö,2003,218100.0
0138,Tyresö,2004,221000.0
0138,Tyresö,2005,224700.0
0138,Tyresö,2006,231900.0
0138,Tyresö,2007,240300.0
0138,Tyresö,2008,249600.0
0138,Tyresö,2009,254900.0
0138,Tyresö,2010,256800.0
0138,Tyresö,2011,262100.0
0138,Tyresö,2012,270600.0
0138,Tyresö,2013,279400.0
0138,Tyresö,2014,285500.0
0139,Upplands-Bro,1999,180000.0
0139,Upplands-Bro,2000,187600.0
0139,Upplands-Bro,2001,195600.0
0139,Upplands-Bro,2002,200900.0
0139,Upplands-Bro,2003,205000.0
0139,Upplands-Bro,2004,208700.0
0139,Upplands-Bro,2005,211300.0
0139,Upplands-Bro,2006,215800.0
0139,Upplands-Bro,2007,223800.0
0139,Upplands-Bro,2008,232400.0
0139,Upplands-Bro,2009,235800.0
0139,Upplands-Bro,2010,237900.0
0139,Upplands-Bro,2011,245100.0
0139,Upplands-Bro,2012,253500.0
0139,Upplands-Bro,2013,258600.0
0139,Upplands-Bro,2014,264400.0
0140,Nykvarn,1999,190600.0
0140,Nykvarn,2000,197900.0
0140,Nykvarn,2001,208500.0
0140,Nykvarn,2002,213600.0
0140,Nykvarn,2003,220000.0
0140,Nykvarn,2004,227200.0
0140,Nykvarn,2005,232900.0
0140,Nykvarn,2006,239800.0
0140,Nykvarn,2007,250200.0
0140,Nykvarn,2008,261700.0
0140,Nykvarn,2009,263800.0
0140,Nykvarn,2010,267800.0
0140,Nykvarn,2011,275900.0
0140,Nykvarn,2012,286100.0
0140,Nykvarn,2013,293900.0
0140,Nykvarn,2014,298700.0
0160,Täby,1999,204800.0
0160,Täby,2000,212800.0
0160,Täby,2001,222300.0
0160,Täby,2002,229600.0
0160,Täby,2003,234300.0
0160,Täby,2004,238900.0
0160,Täby,2005,243800.0
0160,Täby,2006,252700.0
0160,Täby,2007,264200.0
0160,Täby,2008,274700.0
0160,Täby,2009,281500.0
0160,Täby,2010,283900.0
0160,Täby,2011,290600.0
0160,Täby,2012,301200.0
0160,Täby,2013,309000.0
0160,Täby,2014,316800.0
0162,Danderyd,1999,209600.0
0162,Danderyd,2000,218400.0
0162,Danderyd,2001,230000.0
0162,Danderyd,2002,236200.0
0162,Danderyd,2003,240300.0
0162,Danderyd,2004,247100.0
0162,Danderyd,2005,252700.0
0162,Danderyd,2006,263400.0
0162,Danderyd,2007,274000.0
0162,Danderyd,2008,283900.0
0162,Danderyd,2009,291600.0
0162,Danderyd,2010,293200.0
0162,Danderyd,2011,299300.0
0162,Danderyd,2012,309000.0
0162,Danderyd,2013,318700.0
0162,Danderyd,2014,324700.0
0163,Sollentuna,1999,194500.0
0163,Sollentuna,2000,202900.0
0163,Sollentuna,2001,213500.0
0163,Sollentuna,2002,219200.0
0163,Sollentuna,2003,224500.0
0163,Sollentuna,2004,228400.0
0163,Sollentuna,2005,232600.0
0163,Sollentuna,2006,239200.0
0163,Sollentuna,2007,248800.0
0163,Sollentuna,2008,259600.0
0163,Sollentuna,2009,264200.0
0163,Sollentuna,2010,266100.0
0163,Sollentuna,2011,272000.0
0163,Sollentuna,2012,281700.0
0163,Sollentuna,2013,290300.0
0163,Sollentuna,2014,294500.0
0180,Stockholm,1999,175200.0
0180,Stockholm,2000,183000.0
0180,Stockholm,2001,192100.0
0180,Stockholm,2002,197900.0
0180,Stockholm,2003,202300.0
0180,Stockholm,2004,206600.0
0180,Stockholm,2005,210600.0
0180,Stockholm,2006,218700.0
0180,Stockholm,2007,228300.0
0180,Stockholm,2008,240200.0
0180,Stockholm,2009,245800.0
0180,Stockholm,2010,248700.0
0180,Stockholm,2011,256700.0
0180,Stockholm,2012,267000.0
0180,Stockholm,2013,274700.0
0180,Stockholm,2014,281100.0
0181,Södertälje,1999,163700.0
0181,Södertälje,2000,169200.0
0181,Södertälje,2001,178800.0
0181,Södertälje,2002,183500.0
