municipality,name,year,middle_income
0114,Upplands Väsby,2001,214200.0
0114,Upplands Väsby,2002,219400.0
0114,Upplands Väsby,2003,224100.0
0114,Upplands Väsby,2004,226600.0
0114,Upplands Väsby,2005,231700.0
0114,Upplands Väsby,2006,237500.0
0114,Upplands Väsby,2007,245800.0
0114,Upplands Väsby,2008,255500.0
0114,Upplands Väsby,2009,257700.0
0114,Upplands Väsby,2010,260100.0
0114,Upplands Väsby,2011,267400.0
0114,Upplands Väsby,2012,274900.0
0114,Upplands Väsby,2013,279600.0
0114,Upplands Väsby,2014,286500.0
0115,Vallentuna,2001,220700.0
0115,Vallentuna,2002,227000.0
0115,Vallentuna,2003,231900.0
0115,Vallentuna,2004,235200.0
0115,Vallentuna,2005,243100.0
0115,Vallentuna,2006,250000.0
0115,Vallentuna,2007,261800.0
0115,Vallentuna,2008,272200.0
0115,Vallentuna,2009,279500.0
0115,Vallentuna,2010,281800.0
0115,Vallentuna,2011,291100.0
0115,Vallentuna,2012,300800.0
0115,Vallentuna,2013,308100.0
0115,Vallentuna,2014,316800.0
0117,Österåker,2001,226700.0
0117,Österåker,2002,232900.0
0117,Österåker,2003,236400.0
0117,Österåker,2004,240500.0
0117,Österåker,2005,249000.0
0117,Österåker,2006,257200.0
0117,Österåker,2007,267200.0
0117,Österåker,2008,278500.0
0117,Österåker,2009,281000.0
0117,Österåker,2010,285100.0
0117,Österåker,2011,294700.0
0117,Österåker,2012,303100.0
0117,Österåker,2013,312500.0
0117,Österåker,2014,319900.0
0120,Värmdö,2001,225000.0
0120,Värmdö,2002,231100.0
0120,Värmdö,2003,235700.0
0120,Värmdö,2004,242200.0
0120,Värmdö,2005,248100.0
0120,Värmdö,2006,255400.0
0120,Värmdö,2007,267600.0
0120,Värmdö,2008,277000.0
0120,Värmdö,2009,281700.0
0120,Värmdö,2010,285400.0
0120,Värmdö,2011,296800.0
0120,Värmdö,2012,304200.0
0120,Värmdö,2013,311700.0
0120,Värmdö,2014,322600.0
0123,Järfälla,2001,223600.0
0123,Järfälla,2002,228300.0
0123,Järfälla,2003,232300.0
0123,Järfälla,2004,237000.0
0123,Järfälla,2005,241200.0
0123,Järfälla,2006,247700.0
0123,Järfälla,2007,255600.0
0123,Järfälla,2008,263000.0
0123,Järfälla,2009,265200.0
0123,Järfälla,2010,266400.0
0123,Järfälla,2011,273000.0
0123,Järfälla,2012,280600.0
0123,Järfälla,2013,285900.0
0123,Järfälla,2014,291900.0
0125,Ekerö,2001,243500.0
0125,Ekerö,2002,247500.0
0125,Ekerö,2003,251300.0
0125,Ekerö,2004,258700.0
0125,Ekerö,2005,265600.0
0125,Ekerö,2006,272100.0
0125,Ekerö,2007,284700.0
0125,Ekerö,2008,295600.0
0125,Ekerö,2009,301000.0
0125,Ekerö,2010,305900.0
0125,Ekerö,2011,317500.0
0125,Ekerö,2012,327700.0
0125,Ekerö,2013,337000.0
0125,Ekerö,2014,348400.0
0126,Huddinge,2001,212300.0
0126,Huddinge,2002,217000.0
0126,Huddinge,2003,220600.0
0126,Huddinge,2004,224700.0
0126,Huddinge,2005,229900.0
0126,Huddinge,2006,236200.0
0126,Huddinge,2007,244800.0
0126,Huddinge,2008,253300.0
0126,Huddinge,2009,255200.0
0126,Huddinge,2010,259100.0
0126,Huddinge,2011,266800.0
0126,Huddinge,2012,275500.0
0126,Huddinge,2013,282800.0
0126,Huddinge,2014,288300.0
0127,Botkyrka,2001,181300.0
0127,Botkyrka,2002,186100.0
0127,Botkyrka,2003,189900.0
0127,Botkyrka,2004,193800.0
0127,Botkyrka,2005,196400.0
0127,Botkyrka,2006,201800.0
0127,Botkyrka,2007,208800.0
0127,Botkyrka,2008,215400.0
0127,Botkyrka,2009,216900.0
0127,Botkyrka,2010,219800.0
0127,Botkyrka,2011,225300.0
0127,Botkyrka,2012,231900.0
0127,Botkyrka,2013,237600.0
0127,Botkyrka,2014,241600.0
0128,Salem,2001,226600.0
0128,Salem,2002,230400.0
0128,Salem,2003,233400.0
0128,Salem,2004,238900.0
0128,Salem,2005,244700.0
0128,Salem,2006,250100.0
0128,Salem,2007,259400.0
0128,Salem,2008,269700.0
0128,Salem,2009,272100.0
0128,Salem,2010,276600.0
0128,Salem,2011,283500.0
0128,Salem,2012,292300.0
0128,Salem,2013,300900.0
0128,Salem,2014,304400.0
0136,Haninge,2001,200200.0
0136,Haninge,2002,205800.0
0136,Haninge,2003,209000.0
0136,Haninge,2004,213100.0
0136,Haninge,2005,217500.0
0136,Haninge,2006,222800.0
0136,Haninge,2007,229600.0
0136,Haninge,2008,238500.0
0136,Haninge,2009,239900.0
0136,Haninge,2010,242900.0
0136,Haninge,2011,249700.0
0136,Haninge,2012,257300.0
0136,Haninge,2013,263200.0
0136,Haninge,2014,269500.0
0138,Tyresö,2001,227100.0
0138,Tyresö,2002,232800.0
0138,Tyresö,2003,235600.0
0138,Tyresö,2004,239100.0
0138,Tyresö,2005,246100.0
0138,Tyresö,2006,254100.0
0138,Tyresö,2007,265500.0
0138,Tyresö,2008,275600.0
0138,Tyresö,2009,276600.0
0138,Tyresö,2010,280800.0
0138,Tyresö,2011,287600.0
0138,Tyresö,2012,296700.0
0138,Tyresö,2013,306100.0
0138,Tyresö,2014,313900.0
0139,Upplands-Bro,2001,205800.0
0139,Upplands-Bro,2002,210700.0
0139,Upplands-Bro,2003,215400.0
0139,Upplands-Bro,2004,218600.0
0139,Upplands-Bro,2005,221600.0
0139,Upplands-Bro,2006,227200.0
0139,Upplands-Bro,2007,236400.0
0139,Upplands-Bro,2008,245400.0
0139,Upplands-Bro,2009,247700.0
0139,Upplands-Bro,2010,251200.0
0139,Upplands-Bro,2011,259600.0
0139,Upplands-Bro,2012,267800.0
0139,Upplands-Bro,2013,274600.0
0139,Upplands-Bro,2014,280100.0
0140,Nykvarn,2001,220500.0
0140,Nykvarn,2002,225000.0
0140,Nykvarn,2003,230300.0
0140,Nykvarn,2004,238700.0
0140,Nykvarn,2005,246100.0
0140,Nykvarn,2006,253000.0
0140,Nykvarn,2007,265400.0
0140,Nykvarn,2008,277400.0
0140,Nykvarn,2009,274300.0
0140,Nykvarn,2010,281600.0
0140,Nykvarn,2011,289000.0
0140,Nykvarn,2012,298400.0
0140,Nykvarn,2013,304600.0
0140,Nykvarn,2014,311800.0
0160,Täby,2001,277100.0
0160,Täby,2002,280900.0
0160,Täby,2003,283700.0
0160,Täby,2004,290500.0
0160,Täby,2005,300500.0
0160,Täby,2006,311500.0
0160,Täby,2007,327700.0
0160,Täby,2008,340900.0
0160,Täby,2009,341700.0
0160,Täby,2010,347800.0
0160,Täby,2011,357100.0
0160,Täby,2012,366000.0
0160,Täby,2013,375300.0
0160,Täby,2014,385200.0
0162,Danderyd,2001,342200.0
0162,Danderyd,2002,349700.0
0162,Danderyd,2003,347000.0
0162,Danderyd,2004,360800.0
0162,Danderyd,2005,375700.0
0162,Danderyd,2006,390900.0
0162,Danderyd,2007,417200.0
0162,Danderyd,2008,430700.0
0162,Danderyd,2009,426500.0
0162,Danderyd,2010,441100.0
0162,Danderyd,2011,450500.0
0162,Danderyd,2012,454700.0
0162,Danderyd,2013,467200.0
0162,Danderyd,2014,484200.0
0163,Sollentuna,2001,251500.0
0163,Sollentuna,2002,255600.0
0163,Sollentuna,2003,260500.0
0163,Sollentuna,2004,265600.0
0163,Sollentuna,2005,274500.0
0163,Sollentuna,2006,283600.0
0163,Sollentuna,2007,297900.0
0163,Sollentuna,2008,310900.0
0163,Sollentuna,2009,312300.0
0163,Sollentuna,2010,316500.0
0163,Sollentuna,2011,326100.0
0163,Sollentuna,2012,335600.0
0163,Sollentuna,2013,343400.0
0163,Sollentuna,2014,351800.0
0180,Stockholm,2001,224600.0
0180,Stockholm,2002,229000.0
0180,Stockholm,2003,232100.0
0180,Stockholm,2004,237900.0
0180,Stockholm,2005,244900.0
0180,Stockholm,2006,254500.0
0180,Stockholm,2007,266500.0
0180,Stockholm,2008,278200.0
0180,Stockholm,2009,281100.0
0180,Stockholm,2010,286600.0
0180,Stockholm,2011,296700.0
0180,Stockholm,2012,306300.0
0180,Stockholm,2013,314700.0
0180,Stockholm,2014,323600.0
0181,Södertälje,2001,187000.0
0181,Södertälje,2002,192000.0
0181,Södertälje,2003,196700.0
0181,Södertälje,2004,201200.0
0181,Södertälje,2005,204300.0
0181,Södertälje,2006,210200.0
0181,Södertälje,2007,216600.0
0181,Södertälje,2008,221400.0
0181,Södertälje,2009,217400.0
0181,Södertälje,2010,221200.0
0181,Södertälje,2011,228400.0
0181,Södertälje,2012,235200.0
0181,Södertälje,2013,240500.0
0181,Södertälje,2014,242900.0
0182,Nacka,2001,252100.0
0182,Nacka,2002,257400.0
0182,Nacka,2003,260700.0
0182,Nacka,2004,268800.0
0182,Nacka,2005,278800.0
0182,Nacka,2006,288500.0
0182,Nacka,2007,304600.0
0182,Nacka,2008,314900.0
0182,Nacka,2009,317400.0
0182,Nacka,2010,323400.0
0182,Nacka,2011,334300.0
0182,Nacka,2012,343000.0
0182,Nacka,2013,350900.0
0182,Nacka,2014,362400.0
0183,Sundbyberg,2001,216700.0
0183,Sundbyberg,2002,219400.0
0183,Sundbyberg,2003,222400.0
0183,Sundbyberg,2004,226000.0
0183,Sundbyberg,2005,229200.0
0183,Sundbyberg,2006,235700.0
0183,Sundbyberg,2007,245900.0
0183,Sundbyberg,2008,255200.0
0183,Sundbyberg,2009,258600.0
0183,Sundbyberg,2010,262800.0
0183,Sundbyberg,2011,271800.0
0183,Sundbyberg,2012,281200.0
0183,Sundbyberg,2013,288800.0
0183,Sundbyberg,2014,298100.0
0184,Solna,2001,215700.0
0184,Solna,2002,222800.0
0184,Solna,2003,227300.0
0184,Solna,2004,231900.0
0184,Solna,2005,238000.0
0184,Solna,2006,248200.0
0184,Solna,2007,260200.0
0184,Solna,2008,272800.0
0184,Solna,2009,278000.0
0184,Solna,2010,283100.0
0184,Solna,2011,290800.0
0184,Solna,2012,300500.0
0184,Solna,2013,309500.0
0184,Solna,2014,318800.0
0186,Lidingö,2001,289100.0
0186,Lidingö,2002,293700.0
0186,Lidingö,2003,295500.0
0186,Lidingö,2004,305400.0
0186,Lidingö,2005,317400.0
0186,Lidingö,2006,331400.0
0186,Lidingö,2007,346700.0
0186,Lidingö,2008,362100.0
0186,Lidingö,2009,359000.0
0186,Lidingö,2010,368300.0
0186,Lidingö,2011,380000.0
0186,Lidingö,2012,387200.0
0186,Lidingö,2013,396800.0
0186,Lidingö,2014,408300.0
0187,Vaxholm,2001,235300.0
0187,Vaxholm,2002,242200.0
0187,Vaxholm,2003,246400.0
0187,Vaxholm,2004,256900.0
0187,Vaxholm,2005,267200.0
